34,男,本科,否,3,30.583998:104.037849,13,女,高中,是,3,30.596037:104.097960
25,女,高中,是,5,30.587738:104.209662,16,女,初中,否,5,30.594718:104.180053
40,男,研究生,否,3,30.589714:104.140828,14,女,小学,是,4,30.654816:104.040807
23,男,大专,否,3,30.627610:104.188657,14,男,初中,否,5,30.635628:104.046821
24,女,本科,是,4,30.697749:104.125235,10,女,高中,否,5,30.659315:104.102266
38,女,大专,否,3,30.634515:104.121887,17,男,初中,否,3,30.667717:104.063161
30,女,本科,否,5,30.622557:104.223302,17,男,初中,否,4,30.679164:104.123687
24,男,本科,是,5,30.599599:104.193025,13,女,初中,是,3,30.716333:104.081463
25,女,本科,是,3,30.658303:104.113933,15,男,高中,是,3,30.561825:104.111057
38,男,大专,是,4,30.676545:104.052230,12,男,初中,否,4,30.603722:104.034494
38,女,大专,否,3,30.698045:104.154287,10,女,高中,否,5,30.596714:104.082719
28,男,大专,是,4,30.562695:104.063971,16,男,小学,是,3,30.657099:104.174008
33,女,高中,否,4,30.602885:104.084649,11,女,初中,否,5,30.692235:104.167995
26,女,本科,是,3,30.588471:104.143993,12,女,初中,是,5,30.705987:104.209990
33,女,本科,否,3,30.712602:104.203659,14,男,小学,否,3,30.650867:104.193394
39,男,本科,是,5,30.644239:104.198720,18,女,高中,是,5,30.568663:104.207472
30,女,本科,否,4,30.565613:104.043771,13,女,初中,否,4,30.620534:104.196531
24,男,本科,是,4,30.663796:104.037521,18,男,高中,是,5,30.649821:104.146858
25,男,本科,是,4,30.662186:104.156803,15,男,高中,是,3,30.574374:104.160450
29,女,研究生,是,3,30.643445:104.046745,15,女,初中,否,5,30.700842:104.108716
33,男,研究生,否,3,30.581762:104.189806,12,女,高中,否,5,30.605080:104.211758
32,女,高中,否,3,30.613196:104.109102,16,男,未上学,是,3,30.572237:104.233973
36,男,大专,是,4,30.621684:104.032895,11,女,高中,否,4,30.632802:104.142445
37,女,大专,否,3,30.590427:104.097040,16,男,初中,是,3,30.559650:104.030603
31,女,本科,否,4,30.672850:104.085693,13,男,小学,是,3,30.656304:104.149126
33,男,研究生,是,5,30.666549:104.053645,17,男,高中,是,3,30.647973:104.233062
23,女,本科,是,3,30.708804:104.188283,10,男,小学,是,3,30.681245:104.117669
22,女,大专,否,3,30.582139:104.156005,18,男,高中,否,3,30.632551:104.236608
32,女,本科,是,3,30.580947:104.041694,14,男,高中,是,3,30.614749:104.029175
22,男,研究生,是,4,30.705036:104.156409,14,女,初中,否,4,30.667769:104.161209
35,男,本科,是,3,30.689142:104.209079,11,男,小学,否,3,30.585373:104.073058
29,男,本科,否,4,30.636983:104.083328,17,女,初中,否,3,30.691759:104.063027
29,女,研究生,否,5,30.600976:104.094679,14,女,高中,否,3,30.663136:104.154287
32,女,大专,是,3,30.686423:104.021644,13,女,高中,否,5,30.702187:104.021146
23,男,大专,否,3,30.570659:104.021199,12,男,高中,否,5,30.578090:104.105380
36,女,本科,是,5,30.619943:104.048171,15,男,小学,否,4,30.594137:104.058849
33,女,大专,是,5,30.681513:104.092984,14,男,初中,是,3,30.564543:104.034354
22,男,本科,否,5,30.567774:104.062013,16,男,小学,否,3,30.572537:104.031897
23,男,大专,否,3,30.627610:104.188657,12,男,初中,否,3,30.580097:104.149742
34,男,本科,是,4,30.693408:104.136121,17,男,初中,否,4,30.557383:104.079119
34,女,大专,否,3,30.610203:104.149806,12,女,小学,是,3,30.643941:104.096457
36,男,本科,是,5,30.599405:104.217722,11,男,小学,否,4,30.706415:104.139287
25,女,研究生,否,4,30.664961:104.069764,15,男,高中,是,5,30.593105:104.235177
36,女,研究生,是,4,30.658261:104.168764,18,女,初中,否,5,30.664347:104.153844
24,男,本科,是,3,30.656999:104.094345,16,女,初中,是,5,30.680409:104.139170
26,女,本科,否,3,30.557167:104.097318,10,男,未上学,是,4,30.685986:104.170989
40,女,大专,是,4,30.663049:104.160352,17,女,初中,否,5,30.686100:104.055097
34,女,大专,否,4,30.599091:104.168207,14,男,小学,是,5,30.679355:104.182310
23,男,本科,否,5,30.683675:104.200729,15,女,高中,是,3,30.643857:104.191759
24,男,研究生,是,5,30.683202:104.079531,16,女,未上学,是,5,30.561254:104.135118
29,女,高中,是,4,30.578983:104.113766,13,男,小学,是,5,30.672001:104.208490
40,女,本科,否,5,30.645496:104.208654,12,男,小学,是,3,30.657874:104.231926
38,女,研究生,是,3,30.559132:104.138124,12,女,小学,否,3,30.632695:104.118038
34,男,研究生,否,5,30.699328:104.140182,12,男,高中,否,3,30.653123:104.020930
32,男,大专,是,5,30.703589:104.051757,13,女,未上学,否,4,30.613886:104.115726
40,男,本科,是,4,30.670195:104.146131,13,男,小学,是,5,30.610928:104.186786
25,男,研究生,是,5,30.705239:104.076320,14,男,初中,是,5,30.606395:104.072532
27,男,大专,否,4,30.657378:104.164636,16,女,未上学,是,4,30.681163:104.102839
27,男,大专,是,4,30.654116:104.091694,16,女,高中,是,4,30.569809:104.197440
40,女,本科,否,5,30.645496:104.208654,16,男,初中,否,3,30.621329:104.126598
35,女,高中,否,3,30.611560:104.057009,12,男,未上学,否,3,30.665830:104.068102
34,男,高中,是,5,30.582461:104.067437,14,男,初中,否,4,30.585945:104.136487
27,女,本科,否,3,30.619175:104.046737,17,男,初中,是,4,30.680001:104.017935
24,女,研究生,是,5,30.554963:104.100736,16,男,小学,否,3,30.644006:104.065819
39,男,大专,是,5,30.558626:104.075187,13,女,初中,否,4,30.584459:104.055609
34,女,研究生,是,5,30.581100:104.198209,16,女,小学,是,3,30.621532:104.195242
40,男,本科,是,5,30.647069:104.048736,15,男,初中,是,4,30.696700:104.207755
29,女,大专,否,3,30.587202:104.131278,15,男,未上学,是,3,30.683132:104.117397
28,女,研究生,是,3,30.667074:104.030530,17,女,初中,是,4,30.694322:104.117744
35,男,本科,否,4,30.659425:104.098795,15,男,小学,否,5,30.670906:104.224821
39,男,大专,是,3,30.635440:104.133563,17,女,初中,是,4,30.656430:104.229073
29,女,高中,是,4,30.578983:104.113766,16,女,高中,是,4,30.618005:104.208052
36,女,本科,是,5,30.642243:104.089450,13,男,高中,否,5,30.636045:104.019486
33,男,本科,是,4,30.583758:104.025957,14,女,小学,否,4,30.681686:104.069111
28,男,大专,是,5,30.700252:104.143876,16,男,小学,是,5,30.612243:104.163525
24,女,研究生,否,4,30.703338:104.217917,17,男,初中,否,5,30.558217:104.091837
27,男,大专,是,4,30.654116:104.091694,13,男,初中,是,4,30.636946:104.144065
33,女,高中,否,5,30.644682:104.054272,18,男,高中,否,3,30.593829:104.111428
32,女,本科,否,4,30.707609:104.233466,10,女,初中,是,5,30.581874:104.149438
34,女,大专,否,3,30.610203:104.149806,12,女,初中,否,4,30.674049:104.068514
40,男,本科,否,5,30.562938:104.153171,12,男,小学,否,3,30.565094:104.022794
23,女,本科,是,3,30.708804:104.188283,10,男,高中,否,4,30.688044:104.201588
24,女,大专,是,5,30.602813:104.202374,18,男,小学,是,4,30.601899:104.133053
40,男,本科,是,4,30.621462:104.160663,17,男,小学,否,4,30.716509:104.236624
26,男,大专,否,4,30.690362:104.193030,12,女,初中,是,4,30.623476:104.083187
29,女,大专,否,3,30.587202:104.131278,11,女,小学,否,3,30.566772:104.235433
22,女,研究生,否,3,30.600097:104.046448,13,男,初中,是,3,30.567001:104.129618
23,女,研究生,是,5,30.674763:104.111251,15,男,未上学,是,4,30.620065:104.135838
25,女,高中,是,5,30.587738:104.209662,11,男,未上学,否,5,30.564800:104.108007
25,女,研究生,否,4,30.601170:104.230905,10,女,小学,是,3,30.660864:104.078884
25,女,本科,是,3,30.658303:104.113933,12,男,高中,否,3,30.649267:104.143361
22,女,本科,是,3,30.665625:104.216918,16,女,小学,是,5,30.640625:104.033456
