1 1:0.666666666667 2:1 3:0.666666666667 4:0 5:0.0 6:0.625 7:0 8:1 9:0.0 10:0.219770393688
0 1:0.166666666667 2:0 3:0.0 4:1 5:1.0 6:0.375 7:0 8:0 9:1.0 10:0.0990752182822
0 1:1.0 2:1 3:1.0 4:0 5:0.0 6:0.125 7:0 8:1 9:0.5 10:0.487359359014
0 1:0.0555555555556 2:1 3:0.333333333333 4:0 5:0.0 6:0.5 7:1 8:0 9:1.0 10:0.530097354836
0 1:0.111111111111 2:0 3:0.666666666667 4:1 5:0.5 6:0.625 7:0 8:0 9:1.0 10:0.19266061894
0 1:0.888888888889 2:0 3:0.333333333333 4:0 5:0.0 6:0.875 7:1 8:0 9:0.0 10:0.261744049869
0 1:0.444444444444 2:0 3:0.666666666667 4:0 5:1.0 6:0.875 7:1 8:0 9:0.5 10:0.459434228979
0 1:0.111111111111 2:1 3:0.666666666667 4:1 5:1.0 6:0.375 7:0 8:1 9:0.0 10:0.710278966875
0 1:0.166666666667 2:0 3:0.666666666667 4:1 5:0.0 6:0.625 7:1 8:1 9:0.0 10:0.466626183916
1 1:0.888888888889 2:1 3:0.333333333333 4:1 5:0.5 6:0.25 7:1 8:0 9:0.5 10:0.353347263837
0 1:0.888888888889 2:0 3:0.333333333333 4:0 5:0.0 6:0.0 7:0 8:0 9:1.0 10:0.561290394827
0 1:0.333333333333 2:1 3:0.333333333333 4:1 5:0.5 6:0.75 7:1 8:1 9:0.0 10:0.618793285004
0 1:0.611111111111 2:0 3:0.0 4:0 5:0.5 6:0.125 7:0 8:0 9:1.0 10:0.534097574076
0 1:0.222222222222 2:0 3:0.666666666667 4:1 5:0.0 6:0.25 7:0 8:1 9:1.0 10:0.625513890005
0 1:0.611111111111 2:0 3:0.666666666667 4:0 5:0.0 6:0.5 7:1 8:0 9:0.0 10:0.293489625441
1 1:0.944444444444 2:1 3:0.666666666667 4:1 5:1.0 6:1.0 7:0 8:1 9:1.0 10:0.362396834097
0 1:0.444444444444 2:0 3:0.666666666667 4:0 5:0.5 6:0.375 7:0 8:0 9:0.5 10:0.632747838691
0 1:0.111111111111 2:1 3:0.666666666667 4:1 5:0.5 6:1.0 7:1 8:1 9:1.0 10:0.408531047468
0 1:0.166666666667 2:1 3:0.666666666667 4:1 5:0.5 6:0.625 7:1 8:1 9:0.0 10:0.42293990706
1 1:0.388888888889 2:0 3:1.0 4:1 5:0.0 6:0.625 7:0 8:0 9:1.0 10:0.355549486873
1 1:0.611111111111 2:1 3:1.0 4:0 5:0.0 6:0.25 7:0 8:0 9:1.0 10:0.124361229737
0 1:0.555555555556 2:0 3:0.0 4:0 5:0.0 6:0.75 7:1 8:1 9:0.0 10:0.505273298387
1 1:0.777777777778 2:1 3:0.333333333333 4:1 5:0.5 6:0.125 7:0 8:0 9:0.5 10:0.407213347059
0 1:0.833333333333 2:0 3:0.333333333333 4:0 5:0.0 6:0.75 7:1 8:1 9:0.0 10:0.279789765555
1 1:0.5 2:0 3:0.666666666667 4:0 5:0.5 6:0.375 7:1 8:1 9:0.0 10:0.2386580621
0 1:0.611111111111 2:1 3:1.0 4:1 5:1.0 6:0.875 7:1 8:1 9:0.0 10:0.680522630236
1 1:0.0555555555556 2:0 3:0.666666666667 4:1 5:0.0 6:0.0 7:1 8:1 9:0.0 10:0.286045740756
0 1:0.0 2:0 3:0.333333333333 4:0 5:0.0 6:1.0 7:1 8:0 9:0.0 10:0.382049194452
1 1:0.555555555556 2:0 3:0.666666666667 4:1 5:0.0 6:0.5 7:1 8:1 9:0.0 10:0.15659083237
0 1:0.0 2:1 3:1.0 4:1 5:0.5 6:0.5 7:0 8:0 9:0.5 10:0.168258835019
0 1:0.722222222222 2:1 3:0.666666666667 4:1 5:0.0 6:0.125 7:1 8:0 9:0.0 10:0.722439662078
0 1:0.388888888889 2:1 3:0.666666666667 4:0 5:0.5 6:0.875 7:0 8:0 9:0.0 10:0.266765502577
0 1:0.388888888889 2:0 3:1.0 4:0 5:1.0 6:0.5 7:0 8:0 9:0.0 10:0.368890005578
0 1:0.555555555556 2:0 3:0.333333333333 4:1 5:0.0 6:0.375 7:0 8:0 9:1.0 10:0.0587246938295
0 1:0.0555555555556 2:1 3:0.333333333333 4:0 5:0.0 6:0.25 7:1 8:0 9:1.0 10:0.307372847282
1 1:0.777777777778 2:0 3:0.666666666667 4:1 5:1.0 6:0.625 7:1 8:0 9:0.5 10:0.115843992359
0 1:0.611111111111 2:0 3:0.333333333333 4:1 5:1.0 6:0.5 7:1 8:1 9:0.0 10:0.612188389107
0 1:0.0 2:1 3:0.666666666667 4:0 5:1.0 6:0.75 7:1 8:0 9:0.0 10:0.0981972038273
0 1:0.0555555555556 2:1 3:0.333333333333 4:0 5:0.0 6:0.25 7:1 8:0 9:0.0 10:0.26253361023
0 1:0.666666666667 2:1 3:0.666666666667 4:1 5:0.5 6:0.875 7:1 8:0 9:0.5 10:0.700921107143
0 1:0.666666666667 2:0 3:0.333333333333 4:0 5:0.0 6:0.25 7:0 8:1 9:0.0 10:0.246977086217
0 1:0.777777777778 2:1 3:0.666666666667 4:1 5:1.0 6:0.125 7:1 8:0 9:0.5 10:0.599267725038
0 1:0.166666666667 2:0 3:1.0 4:0 5:0.5 6:0.625 7:1 8:1 9:1.0 10:0.715638696444
1 1:0.777777777778 2:0 3:1.0 4:1 5:0.5 6:1.0 7:0 8:0 9:1.0 10:0.0445330163085
0 1:0.111111111111 2:1 3:0.666666666667 4:1 5:0.0 6:0.75 7:0 8:1 9:1.0 10:0.189181423834
0 1:0.222222222222 2:0 3:0.666666666667 4:0 5:0.0 6:0.0 7:1 8:1 9:0.5 10:0.689740197921
0 1:1.0 2:0 3:0.333333333333 4:1 5:0.5 6:0.875 7:0 8:0 9:1.0 10:0.40317491374
1 1:0.666666666667 2:0 3:0.333333333333 4:0 5:0.5 6:0.5 7:1 8:1 9:1.0 10:0.388244490448
0 1:0.0555555555556 2:1 3:0.666666666667 4:0 5:1.0 6:0.625 7:0 8:1 9:0.0 10:0.183211194021
0 1:0.111111111111 2:1 3:1.0 4:1 5:1.0 6:0.75 7:0 8:1 9:1.0 10:0.631741601172
0 1:0.388888888889 2:0 3:0.0 4:1 5:0.5 6:0.375 7:1 8:1 9:1.0 10:0.575346411081
1 1:1.0 2:0 3:0.666666666667 4:0 5:1.0 6:0.25 7:1 8:1 9:0.0 10:0.0887889889713
1 1:0.888888888889 2:0 3:1.0 4:1 5:0.0 6:0.25 7:0 8:0 9:0.0 10:0.358784094579
0 1:0.666666666667 2:1 3:1.0 4:0 5:1.0 6:0.25 7:1 8:0 9:0.0 10:0.49672810499
0 1:0.555555555556 2:1 3:0.333333333333 4:1 5:1.0 6:0.375 7:0 8:0 9:0.5 10:0.495613949109
